BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Podarcis muralis,F,Lacertidae,21,21,12.225334771205906,4.7185981197445495,56.93568360299855,12.229128784747791,7.028748555239236,5.486566376336876,12.225334771205906,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,Omnivorous,22.1
Podarcis tiliguerta,F,Lacertidae,11,11,1.2206045378311055,NA,51.33619651276883,11.611057941204434,6.220604537831105,4.780906806746658,NA,Paleartic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Pogona vitticeps,F,Agamidae,11,11,58.64,259.48,190.73,43.54,39.27,25.73,53.940000000000005,Australasia,Arboreal/Saxicolous,Omnivorous,Omnivorous,NA,NA
Psammodromus algirus,F,Lacertidae,6,6,6.42474487139159,NA,66.95588427226754,15.698146239020499,9.734846922834954,7.330722777603022,NA,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,23.3
Sauromalus ater,F,Iguanidae,15,15,22.7,165.2,155.20000000000002,26.7,21.8,12.200000000000001,NA,Neartic,Terrestrial/Saxicolous,Herbivorous,Herbivorous,NA,99
Sphenodon punctatus,F,Sphenodontidae,70,70,123.12073951802917,280.1223696639666,201.25698605572157,51.682473154987,38.21075943842694,28.115141149680188,54.90637772717369,Australasia,Terrestrial,Carnivorous,Carnivorous,NA,14
Tarentola mauritanica,F,Phyllodactylidae,18,18,2.4229983164553723,NA,60.54577164466276,17.68778174593052,14.306568542494924,7.980069384267238,NA,Paleartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Trogonophis wiegmanni,F,Trogonophidae,10,10,5.4,7.260000000000001,156.51999999999998,6.82,5.14,4.14,NA,Paleartic,Fossorial,Carnivorous,NA,NA,NA
Salvator merianae,F,Teiidae,9,9,257.9433333333333,NA,331.27666666666664,66.42999999999999,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
Tupinambis teguixin,F,Teiidae,2,2,62.00222438151586,NA,313.9943982566929,NA,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,Omnivorous,NA,NA
Uromastyx aegyptia,F,Agamidae,5,5,98.58180089417849,484.9705503580891,252.72936826593235,37.25149206287969,38.38778148646461,22.8532088505348,42.52591925387961,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,100
Urosaurus ornatus,F,Phrynosomatidae,9,9,4.46,NA,51.82,11.04,8.96,6.109999999999999,NA,Neartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Xenosaurus grandis,F,Xenosauridae,10,10,19.85900288646301,NA,115.05144490473639,27.686810694819233,22.418696811810815,13.501525987298185,29.12091603097519,Neotropic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Xenosaurus newmanorum,F,Xenosauridae,13,13,15.45399324075024,NA,97.88076425598335,24.098476604373708,19.037412966034918,11.636071763922933,25.76984817207141,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Xenosaurus platyceps,F,Xenosauridae,15,15,12.272097991987252,NA,103.88729900666371,24.243493125990035,20.681197436860835,11.153159879417078,26.64972428219788,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
