BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Podarcis hispanicus,M,Lacertidae,10,10,4.647850542618522,NA,56.696533840669034,14.616227766016838,8.589736659610104,6.089736659610103,NA,Paleartic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,42.8
Podarcis lilfordi,F,Lacertidae,14,14,6.400891862868637,NA,61.501783725737276,15.193987366103666,8.71380899352994,6.660356745147455,NA,Paleartic,Terrestrial,Omnivorous,Omnivorous,Omnivorous,61.8
Podarcis melisellensis,M,Lacertidae,25,25,6.98,NA,61.76,15.120000000000001,8.14,6.4399999999999995,16.5,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Podarcis muralis,F,Lacertidae,21,21,12.225334771205906,4.7185981197445495,56.93568360299855,12.229128784747791,7.028748555239236,5.486566376336876,12.225334771205906,Paleartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,Omnivorous,22.1
Podarcis tiliguerta,M,Lacertidae,18,18,3.929983164553722,NA,56.25494107593803,14.90641293851417,8.135702260395517,6.212132034355964,NA,Paleartic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Pogona vitticeps,M,Agamidae,11,11,77.91999999999999,248.39000000000001,192.06,47.33,42.44,28.939999999999998,57.54,Australasia,Arboreal/Saxicolous,Omnivorous,Omnivorous,NA,NA
Psammodromus algirus,F,Lacertidae,6,6,6.42474487139159,NA,66.95588427226754,15.698146239020499,9.734846922834954,7.330722777603022,NA,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,23.3
Sauromalus ater,M,Iguanidae,34,34,81.6,199.10000000000002,171.3,33.3,29,16,NA,Neartic,Terrestrial/Saxicolous,Herbivorous,Herbivorous,NA,99
Sceloporus clarkii,unknown,Phrynosomatidae,49,49,15.02,NA,83.39,NA,17.8,12,NA,Neartic,Arboreal/Saxicolous,Omnivorous,Carnivorous,NA,NA
Sceloporus magister,unknown,Phrynosomatidae,8,8,9.41,NA,65.9,NA,13.93,9.690000000000001,NA,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Sceloporus undulatus,unknown,Phrynosomatidae,68,68,6.02,NA,58.9,NA,11.59,8.05,NA,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Carnivorous,NA,NA
Scelotes bipes,unknown,Scincidae,12,11,1.5410579412044345,1.7707328482542135,77.64016368612666,6.344544826719043,3.3874315780649917,2.7412435565298217,5.627431578064991,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Scincus scincus,unknown,Scincidae,5,5,19.995496807844848,20.520965838179833,93.55952933031988,19.08199378875997,10.985410196624969,10.313547964039962,19.09740398538494,Paleartic,Terrestrial/Fossorial,Omnivorous,NA,NA,NA
Sphenodon punctatus,M,Sphenodontidae,74,74,178.44038949321074,454.8643424471832,233.45493388482691,61.37885917958359,45.89748583246292,33.89986484659842,66.1369829989555,Australasia,Terrestrial,Carnivorous,Carnivorous,NA,14
Tarentola mauritanica,M,Phyllodactylidae,12,12,4.14237604307034,NA,68.61806823688687,19.84413030787577,16.42701705922172,8.845055534994652,NA,Paleartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Trogonophis wiegmanni,M,Trogonophidae,15,15,5.5200000000000005,7.25,160.95,7.1,5.24,4.21,NA,Paleartic,Fossorial,Carnivorous,NA,NA,NA
Tropidurus hispidus,unknown,Tropiduridae,31,31,50.46563275745182,NA,96.77502020754424,NA,NA,NA,NA,Neotropic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Omnivorous,Omnivorous,21.91
Tropidurus semitaeniatus,unknown,Tropiduridae,30,30,25.803330205536724,NA,70.58092234058539,NA,NA,NA,NA,Neotropic,Terrestrial/Saxicolous,Omnivorous,Carnivorous,Omnivorous,22.41
Salvator merianae,M,Teiidae,10,10,438.87507690340993,NA,390.1080572791139,85.1905580942632,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,NA,NA,NA
